"fileName","callerClass","callerMethod","line#","relationInfo","calleeName","calleeProperty,"TypeInfo","expressionValue"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","Rule","","10.00013","ref.type","Lint.Rules.AbstractRule","","extends",""
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","Rule","","11.00018","TS.PropertyDefined","Rule","FAILURE_STRING","string",""
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","Rule","","11.00035","TS.PropertyDefined","Rule","FAILURE_STRING","string",""
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","Rule","","11.00035","Assign","Rule","FAILURE_STRING","string","'Found chai call with vague failure message. Please add an explicit failure message'"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","Rule",".","13.00011","TS.MethodDefined","Rule","apply","(sourceFile: any) => any[]","(@param)?\W+sourceFile *\W+ !! missing description.
@return  !! missing description.
"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","Rule",".apply","13.00033","define.Parameter","apply","sourceFile","any","/*Args:*/<any>sourceFile"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","Rule",".apply","14.00084","calls","/*<Rule>*/ this","getOptions","any","()"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","Rule",".apply","14.00084","pickUpedName","/*<Rule>*/ this","getOptions","","()"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","Rule",".apply","14.00084","call.arguments[0]","/*<Rule>*/ this","applyWithWalker","any","(new ChaiVagueErrorsRuleWalker((/*Args:*/<any>sourceFile), this.getOptions()))"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","Rule",".apply","14.00084","calls","/*<Rule>*/ this","applyWithWalker","any","((new ChaiVagueErrorsRuleWalker((/*Args:*/<any>sourceFile), this.getOptions())))"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","Rule",".apply","14.00084","pickUpedName","/*<Rule>*/ this","applyWithWalker","","((new ChaiVagueErrorsRuleWalker((/*Args:*/<any>sourceFile), this.getOptions())))"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","Rule",".apply","14.00084","pickUpedName","/*<Rule>*/ this","getOptions","","((new ChaiVagueErrorsRuleWalker((/*Args:*/<any>sourceFile), this.getOptions())))"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","Rule",".apply","14.00084","return","","","any","this.applyWithWalker((new ChaiVagueErrorsRuleWalker((/*Args:*/<any>sourceFile), this.getOptions())))"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","Rule","","19.00006","defined","ChaiVagueErrorsRuleWalker","","TS.Class","
"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker","","19.00006","ref.type","ErrorTolerantWalker","","extends",""
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".","22.00014","TS.MethodDefined","ChaiVagueErrorsRuleWalker","visitPropertyAccessExpression","(node: any) => void","(@param)?\W+node *\W+ !! missing description.
"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitPropertyAccessExpression","22.00054","define.Parameter","visitPropertyAccessExpression","node","any","/*Args:*/<any>node"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitPropertyAccessExpression","22.00087","Conditional","/*<ChaiVagueErrorsRuleWalker>*/ this.isExpectInvocation(node)","","/*IfStatement*/ boolean/* no Else Clause*/","this.isExpectInvocation((/*Args:*/<any>node))"
